Mchi,dMchi,ct,alphaD,xsec(pb),mA,mA/m1,m1,m2,delta
42.0000,4.0000,1.0000,aEM,8.50486918,120.0000,3.0000,40.0000,44.0000,0.1000
44.0000,8.0000,100.0000,0.1,0.00026946568,120.0000,3.0000,40.0000,48.0000,0.2000
44.0000,8.0000,100.0000,aEM,0.003057662,120.0000,3.0000,40.0000,48.0000,0.2000
44.0000,8.0000,10.0000,0.1,0.0026945791,120.0000,3.0000,40.0000,48.0000,0.2000
44.0000,8.0000,10.0000,aEM,0.0305625202,120.0000,3.0000,40.0000,48.0000,0.2000
44.0000,8.0000,1.0000,0.1,0.026945971,120.0000,3.0000,40.0000,48.0000,0.2000
44.0000,8.0000,1.0000,aEM,0.304043685,120.0000,3.0000,40.0000,48.0000,0.2000
60.9000,5.8000,100.0000,0.1,0.813202046414,121.8000,2.1000,58.0000,63.8000,0.1000
60.9000,5.8000,100.0000,aEM,0.059350666577,121.8000,2.1000,58.0000,63.8000,0.1000
60.9000,5.8000,10.0000,0.1,0.81323506457,121.8000,2.1000,58.0000,63.8000,0.1000
60.9000,5.8000,10.0000,aEM,0.14886724822,121.8000,2.1000,58.0000,63.8000,0.1000
60.9000,5.8000,1.0000,0.1,1.7440073431,121.8000,2.1000,58.0000,63.8000,0.1000
60.9000,5.8000,1.0000,aEM,0.4647707286,121.8000,2.1000,58.0000,63.8000,0.1000
63.8000,11.6000,100.0000,0.1,1.14898149e-06,121.8000,2.1000,58.0000,69.6000,0.2000
63.8000,11.6000,100.0000,aEM,1.14889054e-06,121.8000,2.1000,58.0000,69.6000,0.2000
63.8000,11.6000,10.0000,0.1,1.14889054e-05,121.8000,2.1000,58.0000,69.6000,0.2000
63.8000,11.6000,10.0000,aEM,1.14893386e-05,121.8000,2.1000,58.0000,69.6000,0.2000
63.8000,11.6000,1.0000,0.1,0.000114891376,121.8000,2.1000,58.0000,69.6000,0.2000
63.8000,11.6000,1.0000,aEM,0.000114906686,121.8000,2.1000,58.0000,69.6000,0.2000
61.9500,5.9000,100.0000,0.1,0.79039942735,123.9000,2.1000,59.0000,64.9000,0.1000
61.9500,5.9000,100.0000,aEM,0.057680567413,123.9000,2.1000,59.0000,64.9000,0.1000
61.9500,5.9000,10.0000,0.1,0.79043807392,123.9000,2.1000,59.0000,64.9000,0.1000
61.9500,5.9000,10.0000,aEM,0.1386770154,123.9000,2.1000,59.0000,64.9000,0.1000
61.9500,5.9000,1.0000,0.1,1.6257133171,123.9000,2.1000,59.0000,64.9000,0.1000
61.9500,5.9000,1.0000,aEM,0.4341204525,123.9000,2.1000,59.0000,64.9000,0.1000
64.9000,11.8000,100.0000,0.1,1.06265806e-06,123.9000,2.1000,59.0000,70.8000,0.2000
64.9000,11.8000,100.0000,aEM,1.06266027e-06,123.9000,2.1000,59.0000,70.8000,0.2000
64.9000,11.8000,10.0000,0.1,1.06266038e-05,123.9000,2.1000,59.0000,70.8000,0.2000
64.9000,11.8000,10.0000,aEM,1.06267068e-05,123.9000,2.1000,59.0000,70.8000,0.2000
64.9000,11.8000,1.0000,0.1,0.000106265037,123.9000,2.1000,59.0000,70.8000,0.2000
64.9000,11.8000,1.0000,aEM,0.000106279036,123.9000,2.1000,59.0000,70.8000,0.2000
43.0500,4.1000,100.0000,0.1,0.0075171296,123.0000,3.0000,41.0000,45.1000,0.1000
43.0500,4.1000,100.0000,aEM,0.082622258,123.0000,3.0000,41.0000,45.1000,0.1000
43.0500,4.1000,10.0000,0.1,0.075175302,123.0000,3.0000,41.0000,45.1000,0.1000
43.0500,4.1000,10.0000,aEM,0.81749625,123.0000,3.0000,41.0000,45.1000,0.1000
43.0500,4.1000,1.0000,0.1,0.7526884,123.0000,3.0000,41.0000,45.1000,0.1000
43.0500,4.1000,1.0000,aEM,7.25907528,123.0000,3.0000,41.0000,45.1000,0.1000
45.1000,8.2000,100.0000,0.1,0.000209373275,123.0000,3.0000,41.0000,49.2000,0.2000
45.1000,8.2000,100.0000,aEM,0.002559958995,123.0000,3.0000,41.0000,49.2000,0.2000
45.1000,8.2000,10.0000,0.1,0.00209377029,123.0000,3.0000,41.0000,49.2000,0.2000
45.1000,8.2000,10.0000,aEM,0.02558451746,123.0000,3.0000,41.0000,49.2000,0.2000
45.1000,8.2000,1.0000,0.1,0.0209377337,123.0000,3.0000,41.0000,49.2000,0.2000
45.1000,8.2000,1.0000,aEM,0.25479259,123.0000,3.0000,41.0000,49.2000,0.2000
63.0000,6.0000,100.0000,0.1,0.769672251097,126.0000,2.1000,60.0000,66.0000,0.1000
63.0000,6.0000,100.0000,aEM,0.056167121159,126.0000,2.1000,60.0000,66.0000,0.1000
63.0000,6.0000,10.0000,0.1,0.76969541128,126.0000,2.1000,60.0000,66.0000,0.1000
63.0000,6.0000,10.0000,aEM,0.1300635208,126.0000,2.1000,60.0000,66.0000,0.1000
63.0000,6.0000,1.0000,0.1,1.5225768744,126.0000,2.1000,60.0000,66.0000,0.1000
63.0000,6.0000,1.0000,aEM,0.4096670906,126.0000,2.1000,60.0000,66.0000,0.1000
